"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"06 - 08","Middle","Unknown","08","06","MOUNT PLEASANT COMM SCHOOL DISTRICT","MOUNT PLEASANT MIDDLE SCHOOL","public","2017","0","0","1","IA","479",
"KG - 05","Elementary","Unknown","05","KG","MOUNT PLEASANT COMM SCHOOL DISTRICT","SALEM ELEMENTARY SCHOOL","public","2017","1","0","0","IA","94",
"PK - 05","Elementary","Unknown","05","PK","MOUNT PLEASANT COMM SCHOOL DISTRICT","VAN ALLEN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","290",
"09 - 12","High","No","12","09","MOUNT PLEASANT COMM SCHOOL DISTRICT","WISDOMQUEST EDUCATION CENTER","public","2017","0","1","0","IA","28","HN"
"09 - 12","High","No","12","09","MOUNT VERNON COMM SCHOOL DISTRICT","MOUNT VERNON HIGH SCHOOL","public","2017","0","1","0","IA","392","HN"
"05 - 08","Mixed","Unknown","08","05","MOUNT VERNON COMM SCHOOL DISTRICT","MOUNT VERNON MIDDLE SCHOOL","public","2017","1","0","1","IA","382",
"PK - 04","Elementary","Unknown","04","PK","MOUNT VERNON COMM SCHOOL DISTRICT","WASHINGTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","526",
"PK - 06","Elementary","Unknown","06","PK","MURRAY COMM SCHOOL DISTRICT","MURRAY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","190",
"07 - 12","Mixed","Yes","12","07","MURRAY COMM SCHOOL DISTRICT","MURRAY SCHOOL MURRAY JR/SR HIGH","public","2017","0","1","1","IA","155","Yes"
"06 - 08","Middle","Unknown","08","06","MUSCATINE COMM SCHOOL DISTRICT","CENTRAL MIDDLE SCHOOL","public","2017","0","0","1","IA","581",
"PK - 05","Elementary","Unknown","05","PK","MUSCATINE COMM SCHOOL DISTRICT","COLORADO ELEMENTARY SCHOOL","public","2017","1","0","0","IA","283",
"PK - 05","Elementary","Unknown","05","PK","MUSCATINE COMM SCHOOL DISTRICT","FRANKLIN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","307",
"PK - 05","Elementary","Unknown","05","PK","MUSCATINE COMM SCHOOL DISTRICT","GRANT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","315",
"PK - 05","Elementary","No","05","PK","MUSCATINE COMM SCHOOL DISTRICT","JEFFERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","347","No"
"KG - 05","Elementary","Unknown","05","KG","MUSCATINE COMM SCHOOL DISTRICT","MADISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","308",
"PK - 05","Elementary","Unknown","05","PK","MUSCATINE COMM SCHOOL DISTRICT","MCKINLEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","333",
"PK - 05","Elementary","No","05","PK","MUSCATINE COMM SCHOOL DISTRICT","MULBERRY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","294","No"
"09 - 12","High","Yes","12","09","MUSCATINE COMM SCHOOL DISTRICT","MUSCATINE HIGH SCHOOL","public","2017","0","1","0","IA","1614","HY"
"PK - 05","Elementary","Unknown","05","PK","MUSCATINE COMM SCHOOL DISTRICT","WASHINGTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","321",
"06 - 08","Middle","Unknown","08","06","MUSCATINE COMM SCHOOL DISTRICT","WEST MIDDLE SCHOOL","public","2017","0","0","1","IA","622",
"PK - 04","Elementary","Unknown","04","PK","NASHUA-PLAINFIELD COMM SCHOOL DISTRICT","NASHUA-PLAINFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","288",
