"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"09 - 12","High","Yes","12","09","SHELDON COMM SCHOOL DISTRICT","SHELDON HIGH SCHOOL","public","2017","0","1","0","IA","321","Yes"
"05 - 08","Mixed","Unknown","08","05","SHELDON COMM SCHOOL DISTRICT","SHELDON MIDDLE SCHOOL","public","2017","1","0","1","IA","285",
"PK - 04","Elementary","Unknown","04","PK","SHENANDOAH COMM SCHOOL DISTRICT","SHENANDOAH ELEMENTARY SCHOOL","public","2017","1","0","0","IA","437",
"09 - 12","High","Yes","12","09","SHENANDOAH COMM SCHOOL DISTRICT","SHENANDOAH HIGH SCHOOL","public","2017","0","1","0","IA","319","Yes"
"05 - 08","Mixed","Inconsistent","08","05","SHENANDOAH COMM SCHOOL DISTRICT","SHENANDOAH MIDDLE SCHOOL","public","2017","1","0","1","IA","286","Inconsistent"
"PK - 04","Elementary","Unknown","04","PK","SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT","SIBLEY OCHEYEDAN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","365",
"09 - 12","High","No","12","09","SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT","SIBLEY-OCHEYEDAN HIGH SCHOOL","public","2017","0","1","0","IA","229","HN"
"05 - 08","Mixed","Yes","08","05","SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT","SIBLEY-OCHEYEDAN MIDDLE SCHOOL","public","2017","1","0","1","IA","229","Yes"
"PK - 06","Elementary","Yes","06","PK","SIDNEY COMM SCHOOL DISTRICT","SIDNEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","204","Yes"
"07 - 12","Mixed","Yes","12","07","SIDNEY COMM SCHOOL DISTRICT","SIDNEY HIGH SCHOOL","public","2017","0","1","1","IA","174","Yes"
"PK - 06","Elementary","No","06","PK","SIGOURNEY COMM SCHOOL DISTRICT","SIGOURNEY ELEMENTARY","public","2017","1","0","0","IA","320","No"
"07 - 12","Mixed","No","12","07","SIGOURNEY COMM SCHOOL DISTRICT","SIGOURNEY JR-SR HIGH SCH","public","2017","0","1","1","IA","255","HN"
"PK - 04","Elementary","Unknown","04","PK","SIOUX CENTER COMM SCHOOL DISTRICT","KINSEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","511",
"09 - 12","High","Yes","12","09","SIOUX CENTER COMM SCHOOL DISTRICT","SIOUX CENTER HIGH SCHOOL","public","2017","0","1","0","IA","332","Yes"
"05 - 08","Mixed","Unknown","08","05","SIOUX CENTER COMM SCHOOL DISTRICT","SIOUX CENTER MIDDLE SCHOOL","public","2017","1","0","1","IA","324",
"PK - 06","Elementary","Unknown","06","PK","SIOUX CENTRAL COMM SCHOOL DISTRICT","SIOUX CENTRAL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","316",
"09 - 12","High","No","12","09","SIOUX CENTRAL COMM SCHOOL DISTRICT","SIOUX CENTRAL HIGH","public","2017","0","1","0","IA","220","HN"
"07 - 08","Middle","Unknown","08","07","SIOUX CENTRAL COMM SCHOOL DISTRICT","SIOUX CENTRAL MIDDLE SCHOOL","public","2017","0","0","1","IA","100",
"KG - 05","Elementary","Unknown","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","BRYANT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","473",
"KG - 05","Elementary","Unknown","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","CLARK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","317",
"KG - 05","Elementary","Unknown","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","CRESCENT PARK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","215",
"09 - 12","High","Yes","12","09","SIOUX CITY COMM SCHOOL DISTRICT","EAST HIGH SCHOOL","public","2017","0","1","0","IA","1369","Yes"
"06 - 08","Middle","Unknown","08","06","SIOUX CITY COMM SCHOOL DISTRICT","EAST MIDDLE SCHOOL","public","2017","0","0","1","IA","1002",
"PK - 05","Elementary","Unknown","05","PK","SIOUX CITY COMM SCHOOL DISTRICT","EMERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","",
"KG - 05","Elementary","Unknown","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","HUNT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","327",
"KG - 05","Elementary","No","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","IRVING ELEMENTARY SCHOOL","public","2017","1","0","0","IA","756","No"
"PK - PK","PK","Unknown","PK","PK","SIOUX CITY COMM SCHOOL DISTRICT","IRVING PRESCHOOL","public","2017","1","0","0","IA","28",
"PK - 05","Elementary","Unknown","05","PK","SIOUX CITY COMM SCHOOL DISTRICT","LEEDS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","668",
"PK - 05","Elementary","Unknown","05","PK","SIOUX CITY COMM SCHOOL DISTRICT","LIBERTY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","778",
"KG - 05","Elementary","Unknown","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","LINCOLN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","285",
"KG - 05","Elementary","Yes","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","LOESS HILLS ELEMENTARY","public","2017","1","0","0","IA","550","Yes"
"PK - 03","Elementary","Unknown","03","PK","SIOUX CITY COMM SCHOOL DISTRICT","NODLAND ELEMENTARY SCHOOL","public","2017","1","0","0","IA","247",
"09 - 12","High","Yes","12","09","SIOUX CITY COMM SCHOOL DISTRICT","NORTH HIGH SCHOOL","public","2017","0","1","0","IA","1408","HY"
"06 - 08","Middle","Yes","08","06","SIOUX CITY COMM SCHOOL DISTRICT","NORTH MIDDLE SCHOOL","public","2017","0","0","1","IA","1031","Yes"
"PK - 05","Elementary","Unknown","05","PK","SIOUX CITY COMM SCHOOL DISTRICT","RIVERSIDE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","304",
"KG - 05","Elementary","Unknown","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","ROOSEVELT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","",
"PK - 05","Elementary","Unknown","05","PK","SIOUX CITY COMM SCHOOL DISTRICT","SPALDING PARK ELEMENTARY","public","2017","1","0","0","IA","633",
"03 - 05","Elementary","Unknown","05","03","SIOUX CITY COMM SCHOOL DISTRICT","SUNNYSIDE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","238",
"PK - 05","Elementary","Unknown","05","PK","SIOUX CITY COMM SCHOOL DISTRICT","UNITY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","550",
"PK - 05","Elementary","Unknown","05","PK","SIOUX CITY COMM SCHOOL DISTRICT","WASHINGTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","332",
"09 - 12","High","Yes","12","09","SIOUX CITY COMM SCHOOL DISTRICT","WEST HIGH SCHOOL","public","2017","0","1","0","IA","1182","HY"
"06 - 08","Middle","Unknown","08","06","SIOUX CITY COMM SCHOOL DISTRICT","WEST MIDDLE SCHOOL","public","2017","0","0","1","IA","920",
"KG - 05","Elementary","Unknown","05","KG","SIOUX CITY COMM SCHOOL DISTRICT","WHITTIER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","336",
"PK - 04","Elementary","Yes","04","PK","SOLON COMM SCHOOL DISTRICT","LAKEVIEW ELEMENTARY","public","2017","1","0","0","IA","578","Yes"
"09 - 12","High","Yes","12","09","SOLON COMM SCHOOL DISTRICT","SOLON HIGH SCHOOL","public","2017","0","1","0","IA","423","Yes"
"05 - 08","Mixed","Unknown","08","05","SOLON COMM SCHOOL DISTRICT","SOLON MIDDLE SCHOOL","public","2017","1","0","1","IA","447",
"PK - 03","Elementary","Unknown","03","PK","SOUTH CENTRAL CALHOUN COMM SCHOOL DISTRICT","SOUTH CENTRAL CALHOUN ELEMENTARY BUILDING","public","2017","1","0","0","IA","327",
"09 - 12","Mixed","No","12","09","SOUTH CENTRAL CALHOUN COMM SCHOOL DISTRICT","SOUTH CENTRAL CALHOUN HIGH SCHOOL","public","2017","1","1","0","IA","297","No"
"04 - 08","Mixed","Unknown","08","04","SOUTH CENTRAL CALHOUN COMM SCHOOL DISTRICT","SOUTH CENTRAL CALHOUN MIDDLE SCHOOL","public","2017","1","0","1","IA","324",
"PK - 06","Elementary","Unknown","06","PK","SOUTH HAMILTON COMM SCHOOL DISTRICT","SOUTH HAMILTON ELEM","public","2017","1","0","0","IA","383",
"07 - 12","Mixed","No","12","07","SOUTH HAMILTON COMM SCHOOL DISTRICT","SOUTH HAMILTON MIDDLE AND HIGH SCHOOL","public","2017","0","1","1","IA","341","HN"
"PK - 06","Elementary","Unknown","06","PK","SOUTH O'BRIEN COMM SCHOOL DISTRICT","SOUTH O'BRIEN ELEM SCH PRIMGHAR CENTER","public","2017","1","0","0","IA","347",
"07 - 12","Mixed","Yes","12","07","SOUTH O'BRIEN COMM SCHOOL DISTRICT","SOUTH O'BRIEN SECONDARY SCHOOL","public","2017","0","1","1","IA","279","Yes"
"PK - 05","Elementary","Unknown","05","PK","SOUTH PAGE COMM SCHOOL DISTRICT","SOUTH PAGE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","74",
"06 - 12","Mixed","No","12","06","SOUTH PAGE COMM SCHOOL DISTRICT","SOUTH PAGE SENIOR HIGH SCHOOL","public","2017","0","1","1","IA","73","HN"
"PK - 04","Elementary","Unknown","04","PK","SOUTH TAMA COUNTY COMM SCHOOL DISTRICT","SOUTH TAMA COUNTY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","647",
"09 - 12","High","No","12","09","SOUTH TAMA COUNTY COMM SCHOOL DISTRICT","SOUTH TAMA COUNTY HIGH SCHOOL","public","2017","0","1","0","IA","444","HN"
"05 - 08","Mixed","Yes","08","05","SOUTH TAMA COUNTY COMM SCHOOL DISTRICT","SOUTH TAMA COUNTY MIDDLE SCHOOL","public","2017","1","0","1","IA","426","Yes"
"PK - 05","Elementary","Unknown","05","PK","SOUTH WINNESHIEK COMM SCHOOL DISTRICT","SOUTH WINNESHIEK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","230",
"09 - 12","High","Yes","12","09","SOUTH WINNESHIEK COMM SCHOOL DISTRICT","SOUTH WINNESHIEK HIGH SCHOOL","public","2017","0","1","0","IA","226","HY"
"06 - 08","Middle","Unknown","08","06","SOUTH WINNESHIEK COMM SCHOOL DISTRICT","SOUTH WINNESHIEK MIDDLE SCHOOL","public","2017","0","0","1","IA","82",
"PK - 05","Elementary","Unknown","05","PK","SOUTHEAST POLK COMM SCHOOL DISTRICT","ALTOONA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","436",
"PK - 05","Elementary","Unknown","05","PK","SOUTHEAST POLK COMM SCHOOL DISTRICT","CENTENNIAL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","492",
"PK - 05","Elementary","Unknown","05","PK","SOUTHEAST POLK COMM SCHOOL DISTRICT","CLAY ELEMENTARY","public","2017","1","0","0","IA","574",
"PK - 05","Elementary","No","05","PK","SOUTHEAST POLK COMM SCHOOL DISTRICT","DELAWARE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","481","No"
"KG - 05","Elementary","Inconsistent","05","KG","SOUTHEAST POLK COMM SCHOOL DISTRICT","FOUR MILE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","456","Inconsistent"
"PK - 05","Elementary","Inconsistent","05","PK","SOUTHEAST POLK COMM SCHOOL DISTRICT","MITCHELLVILLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","190","Inconsistent"
"KG - 05","Elementary","No","05","KG","SOUTHEAST POLK COMM SCHOOL DISTRICT","RUNNELLS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","263","No"
"09 - 12","High","Yes","12","09","SOUTHEAST POLK COMM SCHOOL DISTRICT","SOUTHEAST POLK HIGH SCHOOL","public","2017","0","1","0","IA","1980","Yes"
"07 - 08","Middle","Yes","08","07","SOUTHEAST POLK COMM SCHOOL DISTRICT","SOUTHEAST POLK JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","1010","Yes"
"06 - 06","Middle","Unknown","06","06","SOUTHEAST POLK COMM SCHOOL DISTRICT","SPRING CREEK - 6TH GRADE","public","2017","0","0","1","IA","526",
"PK - 05","Elementary","Unknown","05","PK","SOUTHEAST POLK COMM SCHOOL DISTRICT","WILLOWBROOK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","512",
"04 - 06","Mixed","Unknown","06","04","SOUTHEAST WARREN COMM SCHOOL DISTRICT","SOUTHEAST WARREN INTERMEDIATE","public","2017","1","0","1","IA","109",
"07 - 12","Mixed","Yes","12","07","SOUTHEAST WARREN COMM SCHOOL DISTRICT","SOUTHEAST WARREN JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","221","HY"
"PK - 03","Elementary","Unknown","03","PK","SOUTHEAST WARREN COMM SCHOOL DISTRICT","SOUTHEAST WARREN PRIMARY","public","2017","1","0","0","IA","181",
"PK - 04","Elementary","Unknown","04","PK","SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT","DAYTON CENTER","public","2017","1","0","0","IA","232",
"04 - 06","Mixed","Unknown","06","04","SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT","GRAND ELEMENTARY SCHOOL","public","2017","1","0","1","IA","",
"07 - 08","Middle","Unknown","08","07","SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT","SOUTHEAST WEBSTER JUNIOR HIGH","public","2017","0","0","1","IA","",
"09 - 12","High","Unknown","12","09","SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT","SOUTHEAST WEBSTER-GRAND HIGH SCHOOL","public","2017","0","1","0","IA","",
"05 - 08","Mixed","No","08","05","SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT","SOUTHEAST WEBSTER-GRAND SOUTHEAST VALLEY MIDDLE","public","2017","1","0","1","IA","332","No"
"02 - 03","Elementary","Yes","03","02","SPENCER COMM SCHOOL DISTRICT","FAIRVIEW PARK ELEMENTARY","public","2017","1","0","0","IA","313","Yes"
"PK - 01","Elementary","Unknown","01","PK","SPENCER COMM SCHOOL DISTRICT","JOHNSON ELEMENTARY","public","2017","1","0","0","IA","386",
"04 - 05","Elementary","Unknown","05","04","SPENCER COMM SCHOOL DISTRICT","LINCOLN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","307",
"09 - 12","High","No","12","09","SPENCER COMM SCHOOL DISTRICT","SPENCER HIGH SCHOOL","public","2017","0","1","0","IA","597","HN"
"06 - 08","Middle","No","08","06","SPENCER COMM SCHOOL DISTRICT","SPENCER MIDDLE SCHOOL","public","2017","0","0","1","IA","441","No"
"PK - 04","Elementary","Yes","04","PK","SPIRIT LAKE COMM SCHOOL DISTRICT","SPIRIT LAKE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","513","Yes"
"09 - 12","High","No","12","09","SPIRIT LAKE COMM SCHOOL DISTRICT","SPIRIT LAKE HIGH SCHOOL","public","2017","0","1","0","IA","439","No"
"05 - 08","Mixed","Unknown","08","05","SPIRIT LAKE COMM SCHOOL DISTRICT","SPIRIT LAKE MIDDLE SCHOOL","public","2017","1","0","1","IA","323",
"PK - 05","Elementary","Unknown","05","PK","SPRINGVILLE COMM SCHOOL DISTRICT","SPRINGVILLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","174",
"06 - 12","Mixed","Yes","12","06","SPRINGVILLE COMM SCHOOL DISTRICT","SPRINGVILLE SECONDARY SCHOOL","public","2017","0","1","1","IA","205","HY"
"PK - 05","Elementary","Yes","05","PK","ST ANSGAR COMM SCHOOL DISTRICT","ST ANSGAR ELEMENTARY SCHOOL","public","2017","1","0","0","IA","283","Yes"
"09 - 12","High","Yes","12","09","ST ANSGAR COMM SCHOOL DISTRICT","ST ANSGAR HIGH SCHOOL","public","2017","0","1","0","IA","222","Yes"
"06 - 08","Middle","Unknown","08","06","ST ANSGAR COMM SCHOOL DISTRICT","ST. ANSGAR MIDDLE SCHOOL","public","2017","0","0","1","IA","154",
"KG - 05","Elementary","Unknown","05","KG","STANTON COMM SCHOOL DISTRICT","STANTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","95",
"06 - 12","Mixed","No","12","06","STANTON COMM SCHOOL DISTRICT","STANTON HIGH SCHOOL","public","2017","0","1","1","IA","133","HN"
"PK - 05","Elementary","Unknown","05","PK","STARMONT COMM SCHOOL DISTRICT","STARMONT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","309",
"09 - 12","High","Yes","12","09","STARMONT COMM SCHOOL DISTRICT","STARMONT HIGH SCHOOL","public","2017","0","1","0","IA","188","Yes"
"06 - 08","Middle","Unknown","08","06","STARMONT COMM SCHOOL DISTRICT","STARMONT MIDDLE SCHOOL COMM SCHOOL DISTRICT","public","2017","0","0","1","IA","119",
"PK - KG","Elementary","Unknown","KG","PK","STORM LAKE COMM SCHOOL DISTRICT","EAST EARLY CHILDHOOD CTR","public","2017","1","0","0","IA","136",
"09 - 12","High","Yes","12","09","STORM LAKE COMM SCHOOL DISTRICT","ST LAKE/IA CNTRL/BUENA VISTA EARLY COLLEGE HS","charter","2017","0","1","0","IA","52","HY"
"PK - 04","Elementary","No","04","PK","STORM LAKE COMM SCHOOL DISTRICT","STORM LAKE ELEMENTARY","public","2017","1","0","0","IA","888","No"
"09 - 12","High","No","12","09","STORM LAKE COMM SCHOOL DISTRICT","STORM LAKE HIGH SCHOOL","public","2017","0","1","0","IA","647","No"
"05 - 08","Mixed","Yes","08","05","STORM LAKE COMM SCHOOL DISTRICT","STORM LAKE MIDDLE SCHOOL","public","2017","1","0","1","IA","651","Yes"
"PK - 06","Elementary","Unknown","06","PK","STRATFORD COMM SCHOOL DISTRICT","STRATFORD ELEMENTARY","public","2017","1","0","0","IA","102",
"KG - 05","Elementary","Unknown","05","KG","SUMNER-FREDERICKSBURG COMM SCHOOL DISTRICT","DURANT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","279",
"KG - 05","Elementary","Unknown","05","KG","SUMNER-FREDERICKSBURG COMM SCHOOL DISTRICT","FREDERICKSBURG ELEM SCHOOL","public","2017","1","0","0","IA","124",
"09 - 12","High","No","12","09","SUMNER-FREDERICKSBURG COMM SCHOOL DISTRICT","SUMNER-FREDERICKSBURG HS","public","2017","0","1","0","IA","226","HN"
"06 - 08","Middle","Unknown","08","06","SUMNER-FREDERICKSBURG COMM SCHOOL DISTRICT","SUMNER-FREDERICKSBURG MIDDLE SCHOOL","public","2017","0","0","1","IA","196",
"PK - 04","Elementary","Yes","04","PK","TIPTON COMM SCHOOL DISTRICT","TIPTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","402","Yes"
"09 - 12","High","Yes","12","09","TIPTON COMM SCHOOL DISTRICT","TIPTON HIGH SCHOOL","public","2017","0","1","0","IA","267","Yes"
"05 - 08","Mixed","No","08","05","TIPTON COMM SCHOOL DISTRICT","TIPTON MIDDLE SCHOOL","public","2017","1","0","1","IA","294","No"
"","Mixed","Unknown","","","TITONKA CONSOLIDATED SCHOOL DISTRICT","TITONKA ELEMENTARY SCHOOL","public","2017","","","","IA","",
"PK - PK","PK","Unknown","PK","PK","TITONKA CONSOLIDATED SCHOOL DISTRICT","TITONKA PRESCHOOL","public","2017","1","0","0","IA","",
"KG - 05","Elementary","Unknown","05","KG","TREYNOR COMM SCHOOL DISTRICT","TREYNOR ELEMENTARY SCHOOL","public","2017","1","0","0","IA","368",
"09 - 12","High","Yes","12","09","TREYNOR COMM SCHOOL DISTRICT","TREYNOR HIGH SCHOOL","public","2017","0","1","0","IA","216","Yes"
"06 - 08","Middle","Unknown","08","06","TREYNOR COMM SCHOOL DISTRICT","TREYNOR MIDDLE SCHOOL","public","2017","0","0","1","IA","191",
"PK - 05","Elementary","Unknown","05","PK","TRI-CENTER COMM SCHOOL DISTRICT","TRI-CENTER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","344",
"09 - 12","High","Yes","12","09","TRI-CENTER COMM SCHOOL DISTRICT","TRI-CENTER HIGH SCHOOL","public","2017","0","1","0","IA","204","HY"
"06 - 08","Middle","Unknown","08","06","TRI-CENTER COMM SCHOOL DISTRICT","TRI-CENTER MIDDLE SCHOOL","public","2017","0","0","1","IA","167",
"PK - 06","Elementary","Unknown","06","PK","TRI-COUNTY COMM SCHOOL DISTRICT","TRI-COUNTY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","148",
"09 - 12","High","No","12","09","TRI-COUNTY COMM SCHOOL DISTRICT","TRI-COUNTY HIGH SCHOOL","public","2017","0","1","0","IA","82","HN"
"07 - 08","Middle","Unknown","08","07","TRI-COUNTY COMM SCHOOL DISTRICT","TRI-COUNTY JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","33",
"PK - 05","Elementary","Unknown","05","PK","TRIPOLI COMM SCHOOL DISTRICT","TRIPOLI ELEMENTARY SCHOOL","public","2017","1","0","0","IA","195",
"06 - 12","Mixed","No","12","06","TRIPOLI COMM SCHOOL DISTRICT","TRIPOLI MIDDLE/SR HIGH SCHOOL","public","2017","0","1","1","IA","247","HN"
"PK - 06","Elementary","Unknown","06","PK","TURKEY VALLEY COMM SCHOOL DISTRICT","TURKEY VALLEY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","175",
"07 - 12","Mixed","Yes","12","07","TURKEY VALLEY COMM SCHOOL DISTRICT","TURKEY VALLEY JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","210","Yes"
"PK - 06","Elementary","Unknown","06","PK","TWIN CEDARS COMM SCHOOL DISTRICT","TWIN CEDARS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","209",
"07 - 12","Mixed","No","12","07","TWIN CEDARS COMM SCHOOL DISTRICT","TWIN CEDARS JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","173","HN"
"PK - 05","Elementary","No","05","PK","TWIN RIVERS COMM SCHOOL DISTRICT","TWIN RIVERS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","66","No"
"PK - 05","Elementary","Yes","05","PK","UNDERWOOD COMM SCHOOL DISTRICT","UNDERWOOD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","352","Yes"
"09 - 12","High","Yes","12","09","UNDERWOOD COMM SCHOOL DISTRICT","UNDERWOOD HIGH SCHOOL","public","2017","0","1","0","IA","237","Yes"
"06 - 08","Middle","No","08","06","UNDERWOOD COMM SCHOOL DISTRICT","UNDERWOOD MIDDLE SCHOOL","public","2017","0","0","1","IA","201","No"
"PK - 05","Elementary","Unknown","05","PK","UNION COMM SCHOOL DISTRICT","DYSART-GENESEO ELEMENTARY SCHOOL","public","2017","1","0","0","IA","181",
"PK - 05","Elementary","Unknown","05","PK","UNION COMM SCHOOL DISTRICT","LA PORTE CITY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","343",
"09 - 12","High","Yes","12","09","UNION COMM SCHOOL DISTRICT","UNION HIGH SCHOOL","public","2017","0","1","0","IA","392","Yes"
"06 - 08","Middle","Yes","08","06","UNION COMM SCHOOL DISTRICT","UNION MIDDLE SCHOOL","public","2017","0","0","1","IA","286","Yes"
"PK - 01","Elementary","Unknown","01","PK","UNITED COMM SCHOOL DISTRICT","UNITED COMMUNITY NORTH","public","2017","1","0","0","IA","137",
"02 - 06","Mixed","Yes","06","02","UNITED COMM SCHOOL DISTRICT","UNITED COMMUNITY SOUTH","public","2017","1","0","1","IA","137","Yes"
"KG - 05","Elementary","Unknown","05","KG","URBANDALE COMM SCHOOL DISTRICT","JENSEN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","250",
"KG - 05","Elementary","Unknown","05","KG","URBANDALE COMM SCHOOL DISTRICT","KAREN ACRES ELEMENTARY SCHOOL","public","2017","1","0","0","IA","202",
"PK - 05","Elementary","Unknown","05","PK","URBANDALE COMM SCHOOL DISTRICT","OLMSTED ELEMENTARY SCHOOL","public","2017","1","0","0","IA","365",
"PK - 05","Elementary","Unknown","05","PK","URBANDALE COMM SCHOOL DISTRICT","ROLLING GREEN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","305",
"09 - 12","High","No","12","09","URBANDALE COMM SCHOOL DISTRICT","URBANDALE HIGH SCHOOL","public","2017","0","1","0","IA","1252","No"
"06 - 08","Middle","Unknown","08","06","URBANDALE COMM SCHOOL DISTRICT","URBANDALE MIDDLE SCHOOL","public","2017","0","0","1","IA","917",
"KG - 05","Elementary","Unknown","05","KG","URBANDALE COMM SCHOOL DISTRICT","VALERIUS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","240",
"PK - 05","Elementary","Unknown","05","PK","URBANDALE COMM SCHOOL DISTRICT","WEBSTER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","583",
"07 - 08","Middle","Unknown","08","07","VALLEY COMM SCHOOL DISTRICT","NORTH FAYETTE-VALLEY MIDDLE SCHOOL","public","2017","0","0","1","IA","158",
"PK - 06","Elementary","Unknown","06","PK","VALLEY COMM SCHOOL DISTRICT","VALLEY ELEMENTARY","public","2017","1","0","0","IA","238",
"","Mixed","Unknown","","","VALLEY COMM SCHOOL DISTRICT","VALLEY HIGH SCHOOL","public","2017","","","","IA","",
"PK - 06","Elementary","Unknown","06","PK","VAN BUREN COMM SCHOOL DISTRICT","VAN BUREN COMMUNITY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","325",
"07 - 12","Mixed","No","12","07","VAN BUREN COMM SCHOOL DISTRICT","VAN BUREN COMMUNITY HIGH SCHOOL","public","2017","0","1","1","IA","281","No"
"KG - 05","Elementary","Yes","05","KG","VAN METER COMM SCHOOL DISTRICT","VAN METER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","289","Yes"
"06 - 12","Mixed","Yes","12","06","VAN METER COMM SCHOOL DISTRICT","VAN METER JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","386","Yes"
"KG - 06","Elementary","Unknown","06","KG","VENTURA COMM SCHOOL DISTRICT","VENTURA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","81",
"07 - 08","Middle","Unknown","08","07","VENTURA COMM SCHOOL DISTRICT","VENTURA MIDDLE SCHOOL","public","2017","0","0","1","IA","151",
"06 - 08","Middle","Unknown","08","06","VILLISCA COMM SCHOOL DISTRICT","SOUTHWEST VALLEY MIDDLE SCHOOL","public","2017","0","0","1","IA","144",
"PK - 05","Elementary","No","05","PK","VILLISCA COMM SCHOOL DISTRICT","SYLVIA ENARSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","157","No"
"","Mixed","Unknown","","","VILLISCA COMM SCHOOL DISTRICT","VILLISCA COMMUNITY HIGH SCHOOL","public","2017","","","","IA","",
"PK - 05","Elementary","Unknown","05","PK","VINTON-SHELLSBURG COMM SCHOOL DISTRICT","SHELLSBURG ELEMENTARY SCHOOL","public","2017","1","0","0","IA","252",
"PK - 04","Elementary","Unknown","04","PK","VINTON-SHELLSBURG COMM SCHOOL DISTRICT","TILFORD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","507",
"09 - 12","High","No","12","09","VINTON-SHELLSBURG COMM SCHOOL DISTRICT","VINTON-SHELLSBURG HIGH SCHOOL","public","2017","0","1","0","IA","501","HN"
"06 - 08","Middle","Unknown","08","06","VINTON-SHELLSBURG COMM SCHOOL DISTRICT","VINTON-SHELLSBURG MIDDLE SCHOOL","public","2017","0","0","1","IA","337",
"PK - 06","Elementary","Unknown","06","PK","WACO COMM SCHOOL DISTRICT","WACO ELEMENTARY SCHOOL","public","2017","1","0","0","IA","264",
"07 - 12","Mixed","Yes","12","07","WACO COMM SCHOOL DISTRICT","WACO HIGH SCHOOL","public","2017","0","1","1","IA","202","HY"
